"","state_id","city_ascii","county_fips","commute","income","healthcare","unemployment","mortgage","rent","libraries","violent_crime","property_crime","taxes","population","total_points"
"1","MN","Minneapolis",27053,1.3,8.3,5,4.5,2.5,2.6,0,2.3,2.8,1.2,8.1,38.6
"2","WI","Madison",55025,2.2,7.9,5.5,5.3,2.2,2.7,2.2,1.6,1.5,0.4,4.8,36.3
"3","ND","Bismarck",38015,2.8,7.5,5,5.9,2.9,3,2.5,1.6,1.7,1.9,1.4,36.2
"4","ND","Fargo",38017,2.9,6.7,4.7,5.9,2.4,2.9,1.9,2.2,1.9,1.9,2.7,36.1
"5","WI","Appleton",55087,2.5,6.2,5.4,5.8,2.7,2.8,1.9,2.7,2.6,0.4,2.8,35.8
"6","PA","Pittsburgh",42003,0.6,6.6,5.4,3.4,2.8,2.7,2.1,1.9,2.7,0.1,7.4,35.7
"7","KS","Overland Park",20091,2.3,8.6,4.9,5.7,2.9,2.9,2,2.1,1.3,0.3,2.5,35.5
"8","ID","Boise",16001,2.4,6.4,3.3,5.3,2.7,2.2,2,2.3,1.7,2.5,4.5,35.3
"9","NH","Portsmouth",33015,0.3,8.7,5.2,4.9,1.5,2.5,2.8,3,2.7,2,1.4,35
"10","WA","Seattle",53033,0.4,8.8,4.6,4,1.1,1.4,0.2,2.6,2.3,0.9,8.3,34.6
"11","IA","Cedar Rapids",19113,2.7,6.9,5.6,5.6,2.9,3,2,1.6,1,0.6,2.5,34.4
"12","CA","San Francisco",6075,0.1,9,5.3,3.4,0.2,0.7,0.2,2,2.4,2.3,8.3,33.9
"13","NC","Raleigh",37183,0.9,8,3.1,4,2.8,2.4,0.7,1.8,2,1.6,6.5,33.8
"14","UT","Provo",49049,2,5.5,3.3,5.1,1.5,1.5,1,3,2.9,2.7,5.3,33.8
"15","IA","Davenport",19163,2.6,5.8,5.2,5.6,2.9,2.9,1.5,1.2,1.6,0.6,3.7,33.6
"16","IA","Des Moines",19153,2.5,6.6,5.2,4.3,2.7,2.6,1.1,1.5,1.4,0.6,5,33.5
"17","UT","Salt Lake City",49035,1.7,6.7,1.8,5,1.9,1.6,0.5,2.5,2.1,2.7,6.8,33.3
"18","ME","Portland",23005,1.5,7.3,4.7,5.6,1.7,2,2.4,2.4,1.8,1,2.7,33.1
"19","UT","Ogden",49057,1.7,4.8,2.4,4.7,2.5,2.3,1,2.9,2.5,2.7,5.4,32.9
"20","ND","Grand Forks",38035,3,5.9,4.5,5.7,2.6,2.7,2.7,1.7,1.3,1.9,0.7,32.7
"21","DC","Washington",11001,0.3,8.4,5.6,0.6,0.5,0.8,0.1,2.3,2.9,2.4,8.6,32.5
"22","WY","Gillette",56005,2.3,7.4,3.1,4.3,2.6,2.7,2.8,2.7,1.1,2.8,0.4,32.2
